Var1,ROILabel,ROIName,R,A,S
Grey Matter,0,NA,0,0,0
White Matter,0,NA,0,0,0
CSF,0,NA,0,0,0
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster001,1,7Networks_LH_Vis_1,-26,-34,-18
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster002,2,7Networks_LH_Vis_2,-26,-76,-14
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster003,3,7Networks_LH_Vis_3,-18,-60,-6
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster004,4,7Networks_LH_Vis_4,-26,-96,-4
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster005,5,7Networks_LH_Vis_5,-6,-92,-2
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster006,6,7Networks_LH_Vis_6,-12,-66,6
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster007,7,7Networks_LH_Vis_7,-48,-70,10
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster008,8,7Networks_LH_Vis_8,-26,-88,20
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster009,9,7Networks_LH_Vis_9,-6,-82,26
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster010,10,7Networks_LH_SomMot_1,-54,-22,8
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster011,11,7Networks_LH_SomMot_2,-36,-22,16
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster012,12,7Networks_LH_SomMot_3,-54,-12,14
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster013,13,7Networks_LH_SomMot_4,-54,-8,34
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster014,14,7Networks_LH_SomMot_5,-40,-22,58
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster015,15,7Networks_LH_SomMot_6,-6,-28,70
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster016,16,7Networks_LH_DorsAttn_Post_1,-46,-58,-12
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster017,17,7Networks_LH_DorsAttn_Post_2,-58,-24,38
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster018,18,7Networks_LH_DorsAttn_Post_3,-24,-68,50
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster019,19,7Networks_LH_DorsAttn_Post_4,-42,-34,48
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster020,20,7Networks_LH_DorsAttn_Post_5,-6,-60,56
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster021,21,7Networks_LH_DorsAttn_Post_6,-22,-50,66
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster022,22,7Networks_LH_DorsAttn_PrCv_1,-48,6,28
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster023,23,7Networks_LH_DorsAttn_FEF_1,-26,-4,60
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster024,24,7Networks_LH_SalVentAttn_ParOper_1,-58,-38,30
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster025,25,7Networks_LH_SalVentAttn_FrOperIns_1,-42,-2,-6
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster026,26,7Networks_LH_SalVentAttn_FrOperIns_2,-38,12,6
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster027,27,7Networks_LH_SalVentAttn_PFCl_1,-30,44,30
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster028,28,7Networks_LH_SalVentAttn_Med_1,-6,20,34
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster029,29,7Networks_LH_SalVentAttn_Med_2,-12,-34,46
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster030,30,7Networks_LH_SalVentAttn_Med_3,-6,4,62
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster031,31,7Networks_LH_Limbic_OFC_1,-14,32,-20
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster032,32,7Networks_LH_Limbic_TempPole_1,-32,2,-38
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster033,33,7Networks_LH_Limbic_TempPole_2,-58,-32,-22
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster034,34,7Networks_LH_Cont_Par_1,-38,-52,46
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster035,35,7Networks_LH_Cont_PFCl_1,-44,32,20
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster036,36,7Networks_LH_Cont_pCun_1,-10,-74,38
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster037,37,7Networks_LH_Cont_Cing_1,-4,-26,34
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster038,38,7Networks_LH_Default_Temp_1,-56,-4,-20
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster039,39,7Networks_LH_Default_Temp_2,-58,-32,-2
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster040,40,7Networks_LH_Default_Par_1,-58,-50,12
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster041,41,7Networks_LH_Default_Par_2,-48,-64,36
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster042,42,7Networks_LH_Default_PFC_1,-34,22,-10
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster043,43,7Networks_LH_Default_PFC_2,-46,34,-4
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster044,44,7Networks_LH_Default_PFC_3,-6,46,0
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster045,45,7Networks_LH_Default_PFC_4,-24,60,-2
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster046,46,7Networks_LH_Default_PFC_5,-8,48,42
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster047,47,7Networks_LH_Default_PFC_6,-40,14,48
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster048,48,7Networks_LH_Default_PFC_7,-26,20,52
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster049,49,7Networks_LH_Default_pCunPCC_1,-12,-56,12
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster050,50,7Networks_LH_Default_pCunPCC_2,-6,-52,34
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster051,51,7Networks_RH_Vis_1,32,-32,-22
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster052,52,7Networks_RH_Vis_2,28,-66,-12
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster053,53,7Networks_RH_Vis_3,50,-60,-10
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster054,54,7Networks_RH_Vis_4,22,-96,-4
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster055,55,7Networks_RH_Vis_5,8,-76,6
Schaefer2018_100Parcels_7Networks_order_FSLMNI152_2mm.cluster056,56,7Networks_RH_Vis_6,18,-58,6
